项目编号,项目名称,首席申请机构,批准资金
ITP/017/14NP,"运用先进材料提高锂电池安全性能","纳米及先进材料研发院有限公司",HK$ 2,051,655
ITP/031/14NP,"研发一种应用於移动电子设备可靠及安全的快充鋰电池","纳米及先进材料研发院有限公司",HK$ 2,684,790
ITP/034/14NI,"开发可印刷之衣服发热元件","纳米及先进材料研发院有限公司",HK$ 670,283
ITP/036/14NP,"面向可移动及可穿戴电子装置的低成本柔性钙鈦矿太阳能电池的开发","纳米及先进材料研发院有限公司",HK$ 2,795,470
ITP/038/14NI,"用於指定金属及塑胶底材上的罐装高反光涂料","纳米及先进材料研发院有限公司",HK$ 546,565
ITP/041/14NP,"研发应用在高能量密度鋰离子电池中的先进阴极材料","纳米及先进材料研发院有限公司",HK$ 2,785,300
ITP/054/14AI,"增程式混合动力客车的研发","先进能源及智慧交通中心",HK$ 4,747,168
ITP/067/14TP,"基於织物石墨烯复合电极在可穿戴鋰离子电池的应用研究","香港纺织及成衣研发中心",HK$ 2,656,500
ITP/004/15NP,"应用於能量收集的柔性压电材料和系统","纳米及先进材料研发院有限公司",HK$ 2,782,500
ITP/010/15NI,"针对钙鈦矿太阳能电池的可打印电极材料的开发","纳米及先进材料研发院有限公司",HK$ 1,252,975
ITP/012/15NP,"研发用於改善鋰离子电池温度性能的电极材料表面改性技术","纳米及先进材料研发院有限公司",HK$ 2,162,000
ITP/017/15NP,"开发用於鋰离子电池性能改善的绿色环保制造工艺","纳米及先进材料研发院有限公司",HK$ 5,479,606
ITP/021/15NI,"研发针对物流运输及野外遥感应用的储能方案","纳米及先进材料研发院有限公司",HK$ 883,286
ITP/028/15AP,"智能电动车向住家(Vehicle-to-Home)供电系统研发","先进能源及智慧交通中心",HK$ 2,718,000
ITP/030/15NI,"用於智能手腕电子设备的安全印刷可弯折电池","纳米及先进材料研发院有限公司",HK$ 655,600
ITP/035/15AP,"开发用于检测电池管理系统功能的电池仿真设备","先进能源及智慧交通中心",HK$ 2,459,000
ITP/050/15NP,"鋰离子电池寿命建模并应用於电池健康状态监测及高性能鋰离子电池开发","纳米及先进材料研发院有限公司",HK$ 5,843,888
ITP/052/15NI,"快充柔性鋰电池","纳米及先进材料研发院有限公司",HK$ 836,234
ITP/061/15NI,"开发先进节能隔热涂料","纳米及先进材料研发院有限公司",HK$ 1,007,570
ITP/079/15NI,"应用於一体化可穿戴器件的弹性电池","纳米及先进材料研发院有限公司",HK$ 503,600
ITP/090/15AP,"配备动态电源管理系统的智能电动车充电站","先进能源及智慧交通中心",HK$ 4,461,900
ITP/094/15AP,"研发电动车无线中速充电系统","先进能源及智慧交通中心",HK$ 2,747,000
ITP/098/15NI,"研发可打印的安全柔性鋰离子电池","纳米及先进材料研发院有限公司",HK$ 624,170
ITP/013/16AI,"开发适合中国市场的电动充电站与充电管理及收费系统","先进能源及智慧交通中心",HK$ 3,046,000
ITP/016/16NP,"应用於印製电子器件的固态电解质","纳米及先进材料研发院有限公司",HK$ 4,749,500
ITP/023/16TI,"开发可见光自洁羊绒纱和针织衫","香港纺织及成衣研发中心",HK$ 583,222
ITP/040/16NI,"自发电智能照护感应垫","纳米及先进材料研发院有限公司",HK$ 900,850
ITP/041/16NI,"量子点辅助纳米压印技术在室内照明的应用","纳米及先进材料研发院有限公司",HK$ 879,400
ITP/049/16NP,"下一代电动汽车和动力设备用5V鋰离子电池系统的研发","纳米及先进材料研发院有限公司",HK$ 3,944,155
ITP/085/16NP,"开发用於高能量密度鋰离子电池的先进负极材料","纳米及先进材料研发院有限公司",HK$ 2,258,025
ITP/017/17NP,"NAMI柔性电池平臺技术","纳米及先进材料研发院有限公司",HK$ 12,000,000
ITP/038/17AP,"开发电动车大功率碳化硅快速充电模块","先进能源及智慧交通中心",HK$ 1,843,040
ITP/043/17NI,"用於鋰离子电池负极的纳米硅碳復合材料","纳米及先进材料研发院有限公司",HK$ 1,958,550
ITP/047/17NI,"开发极端持久的鋰电池","纳米及先进材料研发院有限公司",HK$ 1,007,925
ITP/085/17TP,"基於导电织物的高能量密度可穿戴电池研究","香港纺织及成衣研发中心",HK$ 5,394,880
ITP/005/18NI,"集成於医疗贴胶柔性电路板上022315型号的可印刷柔性电池","纳米及先进材料研发院有限公司",HK$ 1,566,800
ITP/011/18NI,"柔性纳米发电机在健康护理感应垫及自发电鞋中的应用","纳米及先进材料研发院有限公司",HK$ 1,278,350
ITP/017/18AI,"高能量密度铝空气电池混合动力冷藏物流车","先进能源及智慧交通中心",HK$ 9,413,719
ITP/030/18NP,"用於隔热保温，水分及气体吸收的新型纳米海绵材料","纳米及先进材料研发院有限公司",HK$ 2,795,450
ITP/031/18NP,"柔性纳米发电机在能量採集和传感器中的应用","纳米及先进材料研发院有限公司",HK$ 2,783,000
ITP/039/18NP,"NAMI 水性电解质可充电电池","纳米及先进材料研发院有限公司",HK$ 2,798,800
ITP/057/18AI,"开发用於室内服务和运送的智能自动移动平台","先进能源及智慧交通中心",-
ITP/066/18TI,"穿戴式可持续发展的能量收集鞋垫的开发","香港纺织及成衣研发中心",HK$ 1,933,253.66
ITP/029/19NP,"内置聚合物保险丝材料的无隔膜安全电池","纳米及先进材料研发院有限公司",HK$ 2,799,905
ITP/051/19TP,"从棉花牛仔废料中去除靛蓝染料","香港纺织及成衣研发中心",HK$ 6,192,824
ITP/048/20NP,"NAMI环境友好鋰电池乾正极技术","纳米及先进材料研发院有限公司",HK$ 2,799,100
ITP/047/21AP,"开发具有智能转向功能和增强动力再生能力的轻型固定路线自动驾驶车辆 - 智能转向和智能能源管理的终极解决方案","先进能源及智慧交通中心",HK$ 3,510,541
